oopsla2017项目,,,,,,,,
seq,project,file path,file name,line number,modified java files,git command, commit link,
46,elastic/elasticsearch,modules/percolator/src/main/java/org/elasticsearch/percolator/QueryAnalyzer.java,QueryAnalyzer.java,L276-L336,8,git diff 0b895080e2605881cae6cf3b211a590c7ef81adf 0f6ffc20a536d5daecb6fcc0cb5f59cf1acd63ca modules/percolator/src/main/java/org/elasticsearch/percolator/QueryAnalyzer.java,https://github.com/elastic/elasticsearch/commit/0f6ffc20a536d5daecb6fcc0cb5f59cf1acd63ca,
47,elastic/elasticsearch,modules/percolator/src/test/java/org/elasticsearch/percolator/QueryAnalyzerTests.java,QueryAnalyzerTests.java,L726-L726,8,git diff 0b895080e2605881cae6cf3b211a590c7ef81adf 0f6ffc20a536d5daecb6fcc0cb5f59cf1acd63ca modules/percolator/src/test/java/org/elasticsearch/percolator/QueryAnalyzerTests.java,https://github.com/elastic/elasticsearch/commit/0f6ffc20a536d5daecb6fcc0cb5f59cf1acd63ca,
48,elastic/elasticsearch,modules/percolator/src/test/java/org/elasticsearch/percolator/QueryAnalyzerTests.java,QueryAnalyzerTests.java,L735-L735,8,git diff 0b895080e2605881cae6cf3b211a590c7ef81adf 0f6ffc20a536d5daecb6fcc0cb5f59cf1acd63ca modules/percolator/src/test/java/org/elasticsearch/percolator/QueryAnalyzerTests.java,https://github.com/elastic/elasticsearch/commit/0f6ffc20a536d5daecb6fcc0cb5f59cf1acd63ca,
49,elastic/elasticsearch,modules/percolator/src/test/java/org/elasticsearch/percolator/QueryAnalyzerTests.java,QueryAnalyzerTests.java,L768-L768,8,git diff 0b895080e2605881cae6cf3b211a590c7ef81adf 0f6ffc20a536d5daecb6fcc0cb5f59cf1acd63ca modules/percolator/src/test/java/org/elasticsearch/percolator/QueryAnalyzerTests.java,https://github.com/elastic/elasticsearch/commit/0f6ffc20a536d5daecb6fcc0cb5f59cf1acd63ca,
50,elastic/elasticsearch,modules/percolator/src/test/java/org/elasticsearch/percolator/QueryAnalyzerTests.java,QueryAnalyzerTests.java,L939-L939,8,git diff 0b895080e2605881cae6cf3b211a590c7ef81adf 0f6ffc20a536d5daecb6fcc0cb5f59cf1acd63ca modules/percolator/src/test/java/org/elasticsearch/percolator/QueryAnalyzerTests.java,https://github.com/elastic/elasticsearch/commit/0f6ffc20a536d5daecb6fcc0cb5f59cf1acd63ca,
51,elastic/elasticsearch,modules/percolator/src/test/java/org/elasticsearch/percolator/QueryAnalyzerTests.java,QueryAnalyzerTests.java,L942-L942,8,git diff 0b895080e2605881cae6cf3b211a590c7ef81adf 0f6ffc20a536d5daecb6fcc0cb5f59cf1acd63ca modules/percolator/src/test/java/org/elasticsearch/percolator/QueryAnalyzerTests.java,https://github.com/elastic/elasticsearch/commit/0f6ffc20a536d5daecb6fcc0cb5f59cf1acd63ca,
52,elastic/elasticsearch,x-pack/plugin/ml/src/test/java/org/elasticsearch/xpack/ml/integration/MlDistributedFailureIT.java,MlDistributedFailureIT.java,L174-L174,7,git diff d7ae6de480b5f3ac45f8f0a4a90b99fbc23609e2 1c9e0bbf445f117be00a916c14c38994ae457e19 x-pack/plugin/ml/src/test/java/org/elasticsearch/xpack/ml/integration/MlDistributedFailureIT.java,https://github.com/elastic/elasticsearch/commit/1c9e0bbf445f117be00a916c14c38994ae457e19,
53,elastic/elasticsearch,x-pack/plugin/sql/src/test/java/org/elasticsearch/xpack/sql/execution/search/extractor/CompositeKeyExtractorTests.java,CompositeKeyExtractorTests.java,L88-L88,28,git diff 9f5611f820d9e91f9a32cf2dea33ecb634f8ce54 5c844798045d7baa0d932289d2e3d1607ba6a9a4 x-pack/plugin/sql/src/test/java/org/elasticsearch/xpack/sql/execution/search/extractor/CompositeKeyExtractorTests.java,https://github.com/elastic/elasticsearch/commit/5c844798045d7baa0d932289d2e3d1607ba6a9a4,
54,elastic/elasticsearch,x-pack/plugin/sql/src/test/java/org/elasticsearch/xpack/sql/execution/search/extractor/CompositeKeyExtractorTests.java,CompositeKeyExtractorTests.java,L88-L88,28,git diff 9f5611f820d9e91f9a32cf2dea33ecb634f8ce54 5c844798045d7baa0d932289d2e3d1607ba6a9a4 x-pack/plugin/sql/src/test/java/org/elasticsearch/xpack/sql/execution/search/extractor/CompositeKeyExtractorTests.java,https://github.com/elastic/elasticsearch/commit/5c844798045d7baa0d932289d2e3d1607ba6a9a4,
55,elastic/elasticsearch,x-pack/plugin/ml/src/main/java/org/elasticsearch/xpack/ml/dataframe/process/NativeAnalyticsProcessFactory.java,NativeAnalyticsProcessFactory.java,L65-L65,28,git diff 00a5e5a42a328c9de0586056b6572b0c37e125b4 d6f36a8e4fb04c940f46fa633170cc712380713a x-pack/plugin/ml/src/main/java/org/elasticsearch/xpack/ml/dataframe/process/NativeAnalyticsProcessFactory.java,https://github.com/elastic/elasticsearch/commit/d6f36a8e4fb04c940f46fa633170cc712380713a,
